      4 ARO_Index
      1 gb|AY327540.1|+|0-858|ARO:3000986|TEM-124
      1 gb|AY368236.1|+|0-861|ARO:3000989|TEM-127
      1 gb|AY368237.1|+|0-861|ARO:3000990|TEM-128
      1 gb|AY436361.1|+|131-992|ARO:3000995|TEM-131
      1 gb|AY491682.1|+|0-861|ARO:3000996|TEM-132
      1 gb|AY515297.1|+|0-876|ARO:3001896|CTX-M-34
      1 gb|AY528425.1|+|0-861|ARO:3000997|TEM-133
      1 gb|AY574271.1|+|0-861|ARO:3000998|TEM-134
      1 gb|AY589493.1|+|166-1027|ARO:3000975|TEM-112
      1 gb|AY589494.1|+|193-1054|ARO:3000976|TEM-113
      1 gb|AY589495.1|+|181-1042|ARO:3000977|TEM-114
      1 gb|AY598759.1|+|0-876|ARO:3001873|CTX-M-10
      1 gb|AY628175.1|+|210-1071|ARO:3000972|TEM-109
      1 gb|AY628176.1|+|75-936|ARO:3000987|TEM-125
      1 gb|AY628199.1|+|203-1064|ARO:3000988|TEM-126
      1 gb|AY649755.2|+|1640-2516|ARO:3001899|CTX-M-37
      1 gb|AY826417.1|+|0-861|ARO:3001000|TEM-136
      1 gb|AY847148.1|+|8-884|ARO:3001933|CTX-M-72
      1 gb|AY853593.1|+|214-1075|ARO:3001002|TEM-138
      1 gb|AY874537.1|+|177-1038|ARO:3000883|TEM-11
      1 gb|AY956335.1|+|38-899|ARO:3001004|TEM-141
      4 gb|BA000007.3|+|3212025-3212640|ARO:3000832|evgA
      4 gb|BA000007.3|-|1737690-1738104|ARO:3000676|H-NS
      4 gb|BA000007.3|-|4903688-4905062|ARO:3000830|cpxA
      4 gb|CP000800.1|-|1191727-1192954|ARO:3001329|mdtG
      4 gb|CP015085.1|-|2551711-2552440|ARO:3003838|gadW
      4 gb|D78168.1|+|1591-3130|ARO:3000254|emrY
      4 gb|D78168.1|+|536-1592|ARO:3000206|emrK
      1 gb|DQ061159.1|+|346-1222|ARO:3001904|CTX-M-42
      1 gb|DQ072853.1|+|0-861|ARO:3001003|TEM-139
      1 gb|DQ075245.1|+|217-1078|ARO:3001006|TEM-143
      1 gb|DQ105528.2|+|0-861|ARO:3001012|TEM-145
      1 gb|DQ105529.2|+|0-861|ARO:3001013|TEM-146
      1 gb|DQ223685.1|+|0-876|ARO:3001914|CTX-M-52
      1 gb|DQ256091.1|+|98-974|ARO:3001943|CTX-M-82
      1 gb|DQ268764.2|+|5891-6767|ARO:3001915|CTX-M-53
      1 gb|DQ279850.1|+|0-861|ARO:3001014|TEM-147
      1 gb|DQ286729.1|+|0-861|ARO:3000924|TEM-55
      1 gb|DQ303459.3|+|2174-3050|ARO:3001916|CTX-M-54
      1 gb|DQ369751.1|+|0-861|ARO:3001016|TEM-149
      1 gb|DQ388882.1|+|0-861|ARO:3001005|TEM-142
      1 gb|DQ679961.1|+|114-975|ARO:3001021|TEM-155
      1 gb|DQ834728.1|+|205-1066|ARO:3001019|TEM-152
      1 gb|DQ834729.1|+|205-1066|ARO:3001018|TEM-151
      1 gb|DQ838665.1|+|0-474|ARO:3002860|dfrA17
      1 gb|DQ885477.1|+|0-876|ARO:3001917|CTX-M-55
      1 gb|DQ909059.1|+|0-861|ARO:3001023|TEM-157
      1 gb|EF136376.1|+|0-861|ARO:3001025|TEM-159
      1 gb|EF136377.1|+|0-861|ARO:3001026|TEM-160
      1 gb|EF210159.1|+|0-876|ARO:3001919|CTX-M-58
      1 gb|EF219134.3|+|2125-3001|ARO:3001923|CTX-M-62
      1 gb|EF219142.1|+|10-886|ARO:3001922|CTX-M-61
      1 gb|EF426798.1|+|0-876|ARO:3001940|CTX-M-79
      1 gb|EF468463.1|+|66-927|ARO:3001028|TEM-162
      1 gb|EF534736.1|+|213-1074|ARO:3001024|TEM-158
      1 gb|EF576988.1|+|239-1115|ARO:3001927|CTX-M-66
      1 gb|EU177100.1|+|4-880|ARO:3001929|CTX-M-68
      1 gb|EU202673.2|+|0-876|ARO:3001941|CTX-M-80
