ARO Accession	CVTERM ID
ARO:3005650	44112
ARO:3005651	44113
ARO:3005652	44114
ARO:3001885	38285
ARO:3005653	44115
ARO:3005654	44116
ARO:3005655	44117
ARO:3005656	44118
ARO:3005657	44119
ARO:3005658	44120
ARO:3005659	44121
ARO:3005660	44122
ARO:3005661	44123
ARO:3005662	44124
ARO:3001886	38286
ARO:3005663	44125
ARO:3005664	44126
ARO:3005665	44127
ARO:3005666	44128
ARO:3001887	38287
ARO:3001888	38288
ARO:3001889	38289
ARO:3001890	38290
ARO:3001891	38291
ARO:3001866	38266
ARO:3001892	38292
ARO:3001893	38293
ARO:3001894	38294
ARO:3001895	38295
ARO:3001896	38296
ARO:3001897	38297
ARO:3001898	38298
ARO:3001899	38299
ARO:3001900	38300
ARO:3001901	38301
ARO:3001867	38267
ARO:3001902	38302
ARO:3001903	38303
ARO:3001904	38304
ARO:3001905	38305
ARO:3001906	38306
ARO:3001907	38307
ARO:3001908	38308
ARO:3001909	38309
ARO:3001910	38310
ARO:3001911	38311
ARO:3001868	38268
ARO:3001912	38312
ARO:3001913	38313
ARO:3001914	38314
ARO:3001915	38315
ARO:3001916	38316
ARO:3001917	38317
ARO:3001918	38318
ARO:3001919	38319
ARO:3001920	38320
ARO:3001869	38269
ARO:3001921	38321
ARO:3001922	38322
ARO:3001923	38323
ARO:3001924	38324
ARO:3001925	38325
ARO:3001926	38326
ARO:3001927	38327
ARO:3001928	38328
ARO:3001929	38329
ARO:3001930	38330
ARO:3001870	38270
ARO:3001932	38332
ARO:3001933	38333
ARO:3001934	38334
ARO:3001935	38335
ARO:3001936	38336
ARO:3001937	38337
ARO:3001938	38338
ARO:3001939	38339
ARO:3001940	38340
ARO:3001871	38271
ARO:3001941	38341
